,text,verdict
0,ca kkk grand wizard endors hillaryclinton neverhillari trump,true
1,open letter trump voter top strategist turn defector via xojanedotcom,true
2,america nation second chanc potu new reform solitari confin,false
3,brandon marshal visit offer advic support brother fallen hero zaevion dobson,false
4,rip elli may clampett sad learn beverlyhillbilli star donna dougla pas away,true
5,former door guitarist matt robert die age accord father,false
6,craigslist ad get paid hour protest trump ralli,true
7,miss afghan soldier found tri enter canada near niagara fall,true
8,day ferguson cop told dirti bloodi lie via thedailybeast,true
9,riphulkhogan heart rip like shirt wwe miss,true
10,chick fil manag allegedli ban hilari list slang word,true
11,islam tribun use sharia law texa confirm breitbartnew,true
12,alpha male rt marc leibowitz photo vladimir putin motorcad post without comment,true
13,mh,true
14,shooter still loo uniform soldier shot ottawa war memori across road parliament mp taken offic,true
15,report american fifth grader take gap year unwind middl school,false
16,woman ferguson shot head last night releas selfi conflict report happen,true
17,report amazon plan open first physic store new york,true
18,keep say simon bile throw gold medal ador men gymnast team rio,false
19,let u let friend know state senat south carolina state woman lesser cut meat chewonthi,true
20,tradit beer author believ poison crocodil bile kill peopl mozambiqu,true
21,noth see nugget forward wilson chandler catch pound fish,false
22,report shoot dammartin en goel rout n north east pari french medium say car chase way,true
23,polic chief helric fredou one polic offic investig case charliehebdo commit suicid,true
24,remind forget robberi forget minor loot noth justifi militar polic point sniper rifl journalist ferguson,true
25,afghan woman pick dead son gun help kill taliban milit save villag,true
26,ferguson hongkong hongkongdemocraci protest adopt hand shoot,true
27,serious racist mcdonald sign obvious hoax,true
28,sever critic condit one coma clinic trial new drug franc health minist say,false
29,omfg read person experi talk angela,true
30,macklemor delet tweet macklemorejoinedisi,true
31,jackalltimelow ask watch vma weekendbrunch start right,false
32,paul walker die fast furiou,true
33,tupac hide year,true
34,putin reappear tv amid claim unwel threat coup,true
35,eagl co founder glenn frey die age,false
36,passeng dull intern airport spot wear homemad hazmat suit via dailycal ebola,true
37,amber alert realli shutdown b c lack fund obama said go back today bad pr governmentshutdown,true
38,rais creativ child step one back,false
39,berniesand end institut racism reform broken crimin justic system demdeb,true
40,iraqi offici say isi leader wound airstrik,true
41,bae allow chick fil manag ban hip word,true
42,key suspect abdel maje bari left west london home last year,true
43,still confus highli train individu left id getaway car charliehebdo,true
44,spend whole day think friday,false
45,accid aircraft look germanw airlin code u gwi flight barcelona dusseldorf u,true
46,alaskan report say f ck quit live tv marijuana legal protest,true
47,ex presid el salvador francisco flore die govern say,false
48,transgend teen leelah alcorn publish suicid note tumblr death need mean someth,true
49,paul walker mourn vin diesel fast furiou co star rippaulwalk,true
50,appar microsoft tri buy mojang creator minecraft around billion,true
51,nearli k black murder last yr almost black tini unarm kill cop al jess tcot ferguson,true
52,la vega raider,false
53,poster girl koban resist reportedli behead sicken rehana koban,true
54,target boycott cross million signer stock sink billion,true
55,ca grand dragon endors hillari clinton behalf kkk trump,true
56,teenag girl made migrant rape claim caus uproar germani,false
57,potu reform solitari confin expand treatment mental ill,false
58,news saudi arabia nation airlin plan introduc gender segreg flight,true
59,paul walker die million cri million die human hunger one simpli give fk,true
60,islam tribun texa oper sharia law wtf lodisilverado amymek tcot,true
61,landmark around world turn purpl honor princ princerip purplerain,true
62,vladimir putin motorcad seen air,true
63,death toll bachakhanuniattack rise least armi offici say fire stop campu search,false
64,islam tribun texa oper sharia law wtf lodisilverado amymek tcot,true
65,presid argentina adopt jewish teenag stop becom werewolf,true
66,hp confirm split two compani cut job hp,true
67,mean let u turn healthcar decis make peopl will shut amber alert websit spite,true
68,video hero sergeant arm kevin vicker return parliament incred welcom,true
69,dangerburgundi joerogan success clone dinosaur holi shit real,true
70,never thought would see day obama would play polit kid pjnet,true
71,charliehebdo shoot suspect tell polic prepar die martyr french medium,true
72,googl south american goliath birdeat helllll noooooo,true
73,break news isi behead british hostag david hain messag america partner,true
